TelId TelX TelY TelA TelZ TelFocal
1 -83.549 -187.781 54.999998 29.870001 2870
2 -77.892 -191.06 28.999995 30.819999 2870
3 -82.958 -177.921 81.000001 29.909999 2870
4 -85.994 -170.525 107.00000 29.870001 2870
5 -94.006 -173.158 132.99999 29.840000 2870
6 -88.351 -182.944 160.00000 30.219997 2870
#7 59.096 -126.02 0 0 2870
#10 59.096 -126.02 -174.08 29.57 2870
#*        1 *        0 * -778.0999 * -245.1000 * 54.999998 * 29.870001 *
#*        1 *        1 *     -1106 * -810.7999 * 28.999995 * 30.819999 *
#*        1 *        2 * 207.89999 * -304.2000 * 81.000001 * 29.909999 *
#*        1 *        3 *     947.5 * -0.600000 * 107.00000 * 29.870001 *
#*        1 *        4 * 684.20001 * 800.59997 * 132.99999 * 29.840000 *
#*        1 *        5 * -294.3999 * 235.10000 * 160.00000 * 30.219997 *
